Arbeitgeber;Ort;PLZ;Strasse;Region;Ausbildungsberufe;AnzahlBerufe;AnzahlAnzeigen;ErstmalsGesehen;ZuletztGesehen;Jahre;Quellen;Webseite;Notiz
NORMA Lebensmittelfilialbetrieb Stiftung & Co. KG;Backnang;71522;;BADEN_WUERTTEMBERG;Kaufmann/-frau - Einzelhandel | Verkäufer/in;2;2;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Oberfinanzdirektion Baden-Württemberg Land BW;Backnang;71522;;BADEN_WUERTTEMBERG;Beamter/Beamtin - Steuerverwaltung (mittlerer nichttechnischer Dienst) | DUALES STUDIUM zum 01.10.2027 - Bachelor of Laws (geh. Dienst);2;2;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Parfümerie Schuback GmbH;Backnang;71522;Uhlandstraße 11;BADEN_WUERTTEMBERG;Kaufmann/-frau - Einzelhandel;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Parkett & Bodenbeläge Emil Schwarz GmbH;Backnang;71522;Bertha-Benz-Str.;BADEN_WUERTTEMBERG;Parkettleger/in;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Paul Wilhelm von Keppler-Stiftung;Backnang;71522;Burgplatz 8;BADEN_WUERTTEMBERG;Pflegefachmann/-frau (Ausbildung);1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Penny-Markt GmbH Verwaltung;Backnang;71522;;BADEN_WUERTTEMBERG;Kaufmann/-frau - Einzelhandel | Verkäufer/in;2;3;2026-09-20;2026-09-23;2026;ba-jobsuche;;
R+V Allgemeine Versicherung AG;Backnang;71522;;BADEN_WUERTTEMBERG;Duales Studium B.A. BWL– Risk and Insurance Management/Finanzdienstleistungen Versicherung (m/w/d);1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
REWE Markt GmbH ZwNL Südwest;Backnang;71522;;BADEN_WUERTTEMBERG;Kaufmann/-frau - Einzelhandel;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Röther Beteiligungs GmbH;Backnang;71522;;BADEN_WUERTTEMBERG;Verkäufer/in;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Soehnle Industrial Solutions GmbH;Backnang;71522;Gaildorfer Str.;BADEN_WUERTTEMBERG;Industriekaufmann/-frau;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Sport Flöss Textil- und Sporthaus GmbH;Backnang;71522;Sulzbacher Str.;BADEN_WUERTTEMBERG;Kaufmann/-frau - Einzelhandel | Verkäufer/in;2;2;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Stadtverwaltung Backnang;Backnang;71522;Am Rathaus;BADEN_WUERTTEMBERG;Ausbildung 2027 - Bachelor of Arts, Soziale Arbeit - frühe Bildung (m/w/d) | Ausbildung 2027 - Bachelor of Arts, Soziale Arbeit (m/w/d) | Ausbildung 2027 - Bachelor of Engineering (m/w/d) | Ausbildung 2027 - Einführungspraktikum für Studiengang Bachelor of Arts, Public Management (m/w/d) | Bachelor of Arts – Soziale Arbeit (m/w/d) in der Studienrichtung Kinder- und Jugendarbeit | Erzieher/in | Sozialpädagogische/r Assistent/in / Kinderpfleger/in | Straßenbauer/in | Verwaltungswirt/in (Ausbildung im Beschäftigungsverhältnis);9;13;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Stiftung Altenheime Alten- und Pflegeheim Staigacker;Backnang;71522;Staigacker;BADEN_WUERTTEMBERG;Pflegefachmann/-frau (Ausbildung);1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Stricker Aufzüge GmbH;Backnang;71522;Kuchengrund;BADEN_WUERTTEMBERG;Mechatroniker/in;1;3;2026-09-20;2026-09-23;2026;ba-jobsuche;;
telent GmbH;Backnang;71522;Gerberstr.;BADEN_WUERTTEMBERG;Duales Studium Elektrotechnik und Informationstechnik B.Eng. Start 01.10.2027 - 30.09.2030  I-00640 | Duales Studium Elektrotechnik und Informationstechnik B.Eng. Start 01.10.2027 - 30.09.2030  I-00641 | Duales Studium Informatik Studienrichtung Cyber Security B.Sc. Start 01.10.2027-30.09.2030 - I-00643 | Duales Studium Informatik Studienrichtung Cyber Security B.Sc. Start 01.10.2027-30.09.2030 - I-00644 | Duales Studium Informatik Studienrichtung Informationstechnik B.Sc. Start 01.10.2027 - 30.09.2030 | Duales Studium Wirtschaftsinformatik Sales and Consulting B.Sc Start 01.10.2027-30.09.2030 - I-00645 | Elektroniker/in - Geräte und Systeme | Fachinformatiker/in - Systemintegration | Industriekaufmann/-frau;9;19;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Tesat-Spacecom GmbH & Co. KG;Backnang;71522;Gerberstr.;BADEN_WUERTTEMBERG;Duales Studium 2026 - Elektrotechnik, Vertiefung Kommunikationstechnik | Duales Studium 2026 - Embedded Systems | Duales Studium 2026 - Informatik | Duales Studium 2026 - Wirtschaftsinformatik, Application Management - | Elektroniker/in - Geräte und Systeme;5;6;2026-09-20;2026-09-23;2026;ba-jobsuche;;
toom Baumarkt GmbH;Backnang;71522;;BADEN_WUERTTEMBERG;Kaufmann/-frau - Einzelhandel;1;2;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Volksbank Backnang eG;Backnang;71522;Schillerstr.;BADEN_WUERTTEMBERG;Bankkaufmann/-frau | Finanzassistent/in (doppelt qualifizierende Ausbildung);2;4;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Wiedmann GmbH Spielwaren;Backnang;71522;Uhlandstr.;BADEN_WUERTTEMBERG;Kaufmann/-frau - Einzelhandel | Verkäufer/in;2;2;2026-09-20;2026-09-23;2026;ba-jobsuche;;
WWS Schutz und Sicherheit GmbH;Backnang;71522;Gaildorfer Str.;BADEN_WUERTTEMBERG;Fachkraft - Schutz und Sicherheit;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Zahnarztpraxis Alexandru Ungureanu;Backnang;71522;Sulzbacher Str.;BADEN_WUERTTEMBERG;Zahnmedizinische/r Fachangestellte/r;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Zweirad Center Urban GmbH;Backnang;71522;Weissacher Straße;BADEN_WUERTTEMBERG;Fahrradmonteur/in | Kaufmann/-frau - Einzelhandel | Zweiradmechatroniker/in - Fahrradtechnik;3;3;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Arbeits- und Lebensgemeinschaft Bad Boll e. V.;Bad Boll;73087;Hauptstr.;BADEN_WUERTTEMBERG;Heilerziehungspfleger/in;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
GEERS (Sonova Retail Deutschland GmbH);Bad Boll;73087;Hauptstraße 25;BADEN_WUERTTEMBERG;Hörakustiker/in;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Neumann Bauunternehmen;Bad Boll;73087;Erlengrund;BADEN_WUERTTEMBERG;Maurer/in;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Seminaris Betriebsgesellschaft mbH - Hotel Bad Boll;Bad Boll;73087;Michael-Hörauf-Weg;BADEN_WUERTTEMBERG;Hotelfachmann/-frau;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
WALA Heilmittel GmbH;Bad Boll;73087;Dorfstr.;BADEN_WUERTTEMBERG;Betriebswirt/in (doppelt qualifizierende Ausbildung) - allgemeine Betriebswirtschaft | Fachinformatiker/in - Systemintegration | Industriekaufmann/-frau | Produktionsfachkraft Chemie;4;4;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Die Zieglerschen - Süd - gemeinnützige GmbH GB AH Baltmannsweiler;Baltmannsweiler;73666;Kirchstr.;BADEN_WUERTTEMBERG;Hauswirtschafter/in;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Dr. Navid Yousefi;Baltmannsweiler;73666;Turmstr.;BADEN_WUERTTEMBERG;Zahnmedizinische/r Fachangestellte/r;1;2;2026-09-20;2026-09-23;2026;ba-jobsuche;;
EDEKA Südwest Stiftung & Co. KG;Baltmannsweiler;73666;Schorndorfer Straße 40;BADEN_WUERTTEMBERG;Verkäufer/in;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Gerhard Daiber;Baltmannsweiler;73666;;BADEN_WUERTTEMBERG;Fachverkäufer/in - Lebensmittelhandwerk (Bäckerei) | Fachverkäufer/in - Lebensmittelhandwerk (Fleischerei);2;2;2026-09-20;2026-09-20;2026;ba-jobsuche;;
Manfred Schlienz Behälterbau - Schlosserei Heizung Sanitär Klima Solar;Baltmannsweiler;73666;Zinkstr.;BADEN_WUERTTEMBERG;Metallbauer/in - Konstruktionstechnik;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Mario Beck;Baltmannsweiler;73666;Escherländer;BADEN_WUERTTEMBERG;Mechatroniker/in - Kältetechnik;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
ALDI SÜD Dienstleistungs- SE & Co. oHG;Beilstein, Württemberg;71717;;BADEN_WUERTTEMBERG;Verkäufer/in;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Dr. Mayer und Partner;Beilstein, Württemberg;71717;Kelterstr.;BADEN_WUERTTEMBERG;Zahnmedizinische/r Fachangestellte/r;1;2;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Egon Hägele GmbH Estriche - Fußbodenbau;Beilstein, Württemberg;71717;Heerweg;BADEN_WUERTTEMBERG;Estrichleger/in;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
REWE Markt GmbH ZwNL Südwest;Beilstein, Württemberg;71717;;BADEN_WUERTTEMBERG;Fachverkäufer/in - Lebensmittelhandwerk (Fleischerei) | Kaufmann/-frau - Einzelhandel;2;2;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Thomas Bauer GmbH;Beilstein, Württemberg;71717;Steinbeisstr.;BADEN_WUERTTEMBERG;Dachdecker/in | Klempner/in | Zimmerer/Zimmerin;3;5;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Volksbank Beilstein-Ilsfeld-Abstatt eG;Beilstein, Württemberg;71717;Hauptstr.;BADEN_WUERTTEMBERG;Bankkaufmann/-frau | Duales Studium 2027;2;3;2026-09-20;2026-09-23;2026;ba-jobsuche;;
ZINQ GmbH & Co. KG;Beilstein, Württemberg;71717;Forstbergweg;BADEN_WUERTTEMBERG;Verfahrensmechaniker/in - Beschichtungstechnik;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Lidl Dienstleistung GmbH & Co. KG;Bempflingen;72658;Austraße;BADEN_WUERTTEMBERG;Fachwirt/in - Handel (doppelt qualifizierende Ausbildung) | Verkäufer/in;2;2;2026-09-20;2026-09-23;2026;ba-jobsuche;;
BAV Dienstsitz Aurich;Benningen am Neckar;71726;;BADEN_WUERTTEMBERG;Binnenschiffer/in | Wasserbauer/in;2;2;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Die Holzmeister GmbH;Benningen am Neckar;71726;Krautlose;BADEN_WUERTTEMBERG;Zimmerer/Zimmerin;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
EDEKA Südwest Stiftung & Co. KG;Benningen am Neckar;71726;Hirschmann-Ring 6;BADEN_WUERTTEMBERG;Kaufmann/-frau - Einzelhandel | Verkäufer/in;2;3;2026-09-20;2026-09-23;2026;ba-jobsuche;;
WORLD OF COLORS Frank Jung;Benningen am Neckar;71726;Schickhardtring;BADEN_WUERTTEMBERG;Maler/in und Lackierer/in - Gestaltung und Instandhaltung;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
EDEKA Südwest Stiftung & Co. KG;Berglen, Württemberg;73663;Naumannstraße 2;BADEN_WUERTTEMBERG;Verkäufer/in;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
I love Mauldasch GmbH;Berglen, Württemberg;73663;Erlenstr.;BADEN_WUERTTEMBERG;Duales Studium 2026 BWL - Food Management (m/w/d) | Duales Studium 2026 BWL - Messe- Kongress- Eventmanagement (m/w/d);2;2;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Netto Marken-Discount Stiftung & Co. KG;Berglen, Württemberg;73663;Georg-Friedrich-Händel Straß;BADEN_WUERTTEMBERG;Kaufmann/-frau - Einzelhandel | Verkäufer/in;2;3;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Wilke CNC-Technik GmbH & Co. KG;Berglen, Württemberg;73663;Daimlerstr.;BADEN_WUERTTEMBERG;Feinwerkmechaniker/in;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
ALDI SÜD Dienstleistungs- SE & Co. oHG;Besigheim;74354;;BADEN_WUERTTEMBERG;Verkäufer/in;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
EDEKA Südwest Stiftung & Co. KG;Besigheim;74354;Riedstr. 4;BADEN_WUERTTEMBERG;Fachverkäufer/in - Lebensmittelhandwerk (Fleischerei) | Fleischer/in | Kaufmann/-frau - Einzelhandel | Verkäufer/in;4;4;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Evang. Heimstiftung GmbH Robert-Breuning-Stift;Besigheim;74354;Bülzenstr.;BADEN_WUERTTEMBERG;Altenpflegehelfer/in | Pflegefachmann/-frau (Ausbildung);2;2;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Hopf Kunststofftechnik GmbH;Besigheim;74354;Carl-Zeiss-Str.;BADEN_WUERTTEMBERG;Industriekaufmann/-frau | Kunststoff- und Kautschuktechnologe/-technologin - Formteile;2;2;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Karl Köhler GmbH Bauunternehmung;Besigheim;74354;Jahnstr.;BADEN_WUERTTEMBERG;Beton- und Stahlbetonbauer/in | Maurer/in;2;4;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Lidl Dienstleistung GmbH & Co. KG;Besigheim;74354;Robert-Bosch-Straße;BADEN_WUERTTEMBERG;Fachwirt/in - Handel (doppelt qualifizierende Ausbildung) | Verkäufer/in;2;2;2026-09-20;2026-09-23;2026;ba-jobsuche;;
NORMA Lebensmittelfilialbetrieb Stiftung & Co. KG;Besigheim;74354;;BADEN_WUERTTEMBERG;Kaufmann/-frau - Einzelhandel | Verkäufer/in;2;4;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Parkett Saussele GmbH;Besigheim;74354;Carl-Benz-Straße 9;BADEN_WUERTTEMBERG;Parkettleger/in;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Peter Mohn GmbH & Co. KG;Besigheim;74354;Meisenweg;BADEN_WUERTTEMBERG;Baugeräteführer/in;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
ALDI SÜD Dienstleistungs- SE & Co. oHG;Bietigheim-Bissingen;74321;;BADEN_WUERTTEMBERG;Verkäufer/in;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
apetito catering B.V. & Co. KG;Bietigheim-Bissingen;74321;Carl-Benz-Str.;BADEN_WUERTTEMBERG;Fachkraft - Küche | Koch/Köchin;2;2;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Autohaus Klein GmbH;Bietigheim-Bissingen;74321;Gansäcker;BADEN_WUERTTEMBERG;Kraftfahrzeugmechatroniker/in - Personenkraftwagentechnik;1;1;2026-09-20;2026-09-22;2026;ba-jobsuche;;
Bäckerei Stöckle UG(haftungsbeschränkt) & Co.KG;Bietigheim-Bissingen;74321;Werner-Siemens-Str.;BADEN_WUERTTEMBERG;Bäcker/in | Fachverkäufer/in - Lebensmittelhandwerk (Bäckerei);2;3;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Bezner-Fischer-Gastro GmbH & Co.KG Eberhards;Bietigheim-Bissingen;74321;Holzgartenstr.;BADEN_WUERTTEMBERG;Hotelfachmann/-frau;1;1;2026-09-20;2026-09-21;2026;ba-jobsuche;;
BÜTEMA Daten Elektronik GmbH;Bietigheim-Bissingen;74321;Pleidelsheimer Str.;BADEN_WUERTTEMBERG;IT-System-Elektroniker/in;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Calogero D'Emma L'Arte Frisuren;Bietigheim-Bissingen;74321;Hauptstr.;BADEN_WUERTTEMBERG;Friseur/in;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Carl Spaeter GmbH;Bietigheim-Bissingen;74321;Höpfigheimer Straße 10;BADEN_WUERTTEMBERG;Fachlagerist/in;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Deutsche Post DHL;Bietigheim-Bissingen;74321;;BADEN_WUERTTEMBERG;Fachkraft - Kurier-, Express- und Postdienstleistungen;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
dm-drogerie markt GmbH + Co.KG;Bietigheim-Bissingen;74321;Mühlwiesenstraße 27;BADEN_WUERTTEMBERG;Drogist/in;1;2;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Dr. Anja Raff Zahnärztin;Bietigheim-Bissingen;74321;Lise-Meitner-Str.;BADEN_WUERTTEMBERG;Zahnmedizinische/r Fachangestellte/r;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Dr. Kerstin Schleicher Zahnärztin im Altstadt Carre;Bietigheim-Bissingen;74321;Löchgauer Str.;BADEN_WUERTTEMBERG;Zahnmedizinische/r Fachangestellte/r;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Dr. Marcus Beck zMVZ M. Beck und K. Beck;Bietigheim-Bissingen;74321;Bahnhofsplatz;BADEN_WUERTTEMBERG;Zahnmedizinische/r Fachangestellte/r;1;1;2026-09-23;2026-09-23;2026;ba-jobsuche;;
Dr. med. dent. Lothar Jung;Bietigheim-Bissingen;74321;Bahnhofsplatz;BADEN_WUERTTEMBERG;Zahnmedizinische/r Fachangestellte/r;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Dr. med. Francesco Negroni und Dr. med. Thomas Hansen Augenärzte;Bietigheim-Bissingen;74321;Löchgauer Str.;BADEN_WUERTTEMBERG;Medizinische/r Fachangestellte/r;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Dr.med.Nicola Nienhues;Bietigheim-Bissingen;74321;Berliner Str.;BADEN_WUERTTEMBERG;Medizinische/r Fachangestellte/r;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
DÜRR DENTAL SE;Bietigheim-Bissingen;74321;;BADEN_WUERTTEMBERG;Duales Studium BWL-Digital Business Management (m/w/d) 2027 | Fachinformatiker/in - Systemintegration | Industriekaufmann/-frau | Mechatroniker/in;4;4;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Dürr Systems AG;Bietigheim-Bissingen;74321;Carl-Benz-Str.;BADEN_WUERTTEMBERG;DH-Studium Elektrotechnik und Informationstechnik 2027 | DH-Studium Informatik (2027) | DH-Studium Maschinenbau (2027) | Industriekaufmann/-frau | Industriemechaniker/in | Mechatroniker/in;6;6;2026-09-20;2026-09-23;2026;ba-jobsuche;;
ElringKlinger Kunststofftech. GmbH;Bietigheim-Bissingen;74321;Etzelstr.;BADEN_WUERTTEMBERG;DHBW-Student für BWL (m/w/d) - Studienrichtung BWL Industrie | Ausbildungsbeginn: 01.09.2027 | DHBW-Student für Maschinenbau (m/w/d) | Ausbildungsbeginn: 01.09.2027 | DHBW-Student für Mechatronik (m/w/d) - Studienrichtung allgemein | Ausbildungsbeginn: 01.09.2027 | DHBW-Student Wirtschaftsingenieurwesen (m/w/d) | Ausbildungsbeginn 01.09.2027 | Mechatroniker/in;5;5;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Evang. Heimstiftung GmbH Haus an der Metter;Bietigheim-Bissingen;74321;Pforzheimer Str.;BADEN_WUERTTEMBERG;Altenpflegehelfer/in | Pflegefachmann/-frau (Ausbildung);2;2;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Fielmann AG;Bietigheim-Bissingen;74321;;BADEN_WUERTTEMBERG;Augenoptiker/in;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Garbe Tele & Bürotechnik;Bietigheim-Bissingen;74321;Großingersheimer Str.;BADEN_WUERTTEMBERG;Informationselektroniker/in;1;2;2026-09-20;2026-09-23;2026;ba-jobsuche;;
HIT Frische GmbH & Co. KG;Bietigheim-Bissingen;74321;Mühlwiesenstraße 27;BADEN_WUERTTEMBERG;Fachverkäufer/in - Lebensmittelhandwerk (Fleischerei) | Fleischer/in;2;2;2026-09-20;2026-09-23;2026;ba-jobsuche;;
HIT Handelsgruppe GmbH & Co. KG;Bietigheim-Bissingen;74321;Mühlwiesenstraße 27;BADEN_WUERTTEMBERG;Verkäufer/in;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Hofmeister;Bietigheim-Bissingen;74321;;BADEN_WUERTTEMBERG;Fachkraft - Gastronomie | Fachkraft - Lagerlogistik | Fachkraft - Möbel-, Küchen- und Umzugsservice | Kaufmann/-frau - Einzelhandel;4;4;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Hofmeister Bietigheim GmbH & Co. KG;Bietigheim-Bissingen;74321;Kirchheimer Str.;BADEN_WUERTTEMBERG;DHBW Studium BWL – Einkauf (m/w/d), Schwerpunkt Wohnen 2026 | Fachlagerist/in | Fachmann/-frau - Systemgastronomie | Kaufmann/-frau - Einzelhandel | Koch/Köchin | Mediengestalter/in Digital und Print - Digitalmedien | Tischler/in;7;7;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Hossam Marey Elite Zahnzentrum;Bietigheim-Bissingen;74321;Turmstr.;BADEN_WUERTTEMBERG;Zahnmedizinische/r Fachangestellte/r;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Hotel Otterbach Restaurant GmbH;Bietigheim-Bissingen;74321;Bahnhofstr.;BADEN_WUERTTEMBERG;Hotelfachmann/-frau | Koch/Köchin;2;3;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Kaufland;Bietigheim-Bissingen;74321;;BADEN_WUERTTEMBERG;Bankkaufmann/-frau | Fachwirt/in - Handel (doppelt qualifizierende Ausbildung) | Verkäufer/in;3;4;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Kaufland Dienstleistung GmbH & Co. KG;Bietigheim-Bissingen;74321;Talstraße;BADEN_WUERTTEMBERG;Duales Studium BWL Handel - Filiale (B.A.) 2027 | Verkäufer/in;2;3;2026-09-20;2026-09-23;2026;ba-jobsuche;;
KiK Textilien und Non-Food GmbH;Bietigheim-Bissingen;74321;Stuttgarter Straße 56 - 58;BADEN_WUERTTEMBERG;Fachwirt/in - Handel (doppelt qualifizierende Ausbildung);1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Klein Consulting Inh. Andreas Klein e.Kfm.;Bietigheim-Bissingen;;;BADEN_WUERTTEMBERG;Sport- und Fitnesskaufmann/-frau;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Kratschmayer Luft-Wärme-Klima GmbH;Bietigheim-Bissingen;74321;;BADEN_WUERTTEMBERG;Mechatroniker/in - Kältetechnik;1;3;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Lidl Dienstleistung GmbH & Co. KG;Bietigheim-Bissingen;74321;Gustav-Rau-Str.;BADEN_WUERTTEMBERG;Fachwirt/in - Handel (doppelt qualifizierende Ausbildung) | Verkäufer/in;2;4;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Lieken Brot- und Backwaren GmbH;Bietigheim-Bissingen;74321;;BADEN_WUERTTEMBERG;Fachkraft - Lebensmitteltechnik | Maschinen- und Anlagenführer/in - Lebensmitteltechnik;2;2;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Mack Metallbau GmbH;Bietigheim-Bissingen;74321;Adolf-Heim-Str.;BADEN_WUERTTEMBERG;Metallbauer/in - Konstruktionstechnik;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
McDonald's Deutschland LLC;Bietigheim-Bissingen;74321;Stuttgarter Str. 65;BADEN_WUERTTEMBERG;Fachmann/-frau - Systemgastronomie;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
NÄHTEC  GmbH;Bietigheim-Bissingen;74321;Carl-Zeiss-Str.;BADEN_WUERTTEMBERG;Industriekaufmann/-frau | Werkzeugmechaniker/in;2;2;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Oberfinanzdirektion Baden-Württemberg Land BW;Bietigheim-Bissingen;74321;;BADEN_WUERTTEMBERG;Beamter/Beamtin - Steuerverwaltung (mittlerer nichttechnischer Dienst) | DUALES STUDIUM zum 01.03.2027 - Bachelor of Laws (geh. Dienst) | DUALES STUDIUM zum 01.10.2027 - Bachelor of Laws (geh. Dienst);3;3;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Optik Weber GmbH;Bietigheim-Bissingen;74321;Stuttgarter Str.;BADEN_WUERTTEMBERG;Hörakustiker/in;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
PARKER HANNIFIN MANUFACTURING GERMANY GMBH & CO. KG;Bietigheim-Bissingen;74321;Arnold-Jäger-Str.;BADEN_WUERTTEMBERG;Fachinformatiker/in - Anwendungsentwicklung | Fachkraft - Lagerlogistik | Industriekaufmann/-frau | Kunststoff- und Kautschuktechnologe/-technologin - Formteile | Werkzeugmechaniker/in;5;5;2026-09-20;2026-09-23;2026;ba-jobsuche;;
REWE Markt GmbH ZwNL Südwest;Bietigheim-Bissingen;74321;;BADEN_WUERTTEMBERG;Fachverkäufer/in - Lebensmittelhandwerk (Fleischerei) | Kaufmann/-frau - Einzelhandel;2;2;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Rieger Behälterbau GmbH;Bietigheim-Bissingen;74321;Rötestr.;BADEN_WUERTTEMBERG;Behälter- und Apparatebauer/in;1;1;2026-09-20;2026-09-22;2026;ba-jobsuche;;
Robert Bosch GmbH;Bietigheim-Bissingen;74321;;BADEN_WUERTTEMBERG;Bachelor of Engineering (B.Eng.) Studiengang: Maschinenbau (w/m/div.) / 2027_634 | Bachelor of Engineering (B.Eng.) Studiengang: Mechatronik (w/m/div.) / 2027_122;2;2;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Scheuer & Partner mbB Steuerberater Rechtsanwälte;Bietigheim-Bissingen;74321;In den Freßäckern;BADEN_WUERTTEMBERG;Steuerfachangestellte/r;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Seniorenresidenz Ellental gGmbH;Bietigheim-Bissingen;74321;Schwarzwaldstraße;BADEN_WUERTTEMBERG;Pflegefachmann/-frau (Ausbildung);1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Sieb- und Tampondruck Gailing KG;Bietigheim-Bissingen;74321;Marbacher Weg;BADEN_WUERTTEMBERG;Maschinen- und Anlagenführer/in - Metall-, Kunststofftechnik | Medientechnologe/-technologin Siebdruck | Schilder- und Lichtreklamehersteller/in;3;3;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Stadtverwaltung Bietigheim-Bissingen;Bietigheim-Bissingen;74321;Marktplatz;BADEN_WUERTTEMBERG;Erzieher/in;1;3;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Stadtwerke Bietigheim-Bissingen GmbH;Bietigheim-Bissingen;74321;Rötestr.;BADEN_WUERTTEMBERG;Anlagenmechaniker/in | Duales Studium (B. Eng.) - Bauwesen-Projektmanagement (Tiefbau) 2027 | Fachangestellte/r - Bäderbetriebe | Industriekaufmann/-frau | Umwelttechnologe/-technologin - Abwasserbewirtschaftung;5;5;2026-09-20;2026-09-23;2026;ba-jobsuche;;
Wildermuth + Baschnagel PartG mbB;Bietigheim-Bissingen;74321;Turmstr.;BADEN_WUERTTEMBERG;Steuerfachangestellte/r;1;2;2026-09-20;2026-09-23;2026;ba-jobsuche;;
höchst küchenmanufaktur Inh. Dominik Höchst e.K.;Birenbach, Kreis Göppingen;73102;Turnhallenweg;BADEN_WUERTTEMBERG;Tischler/in;1;1;2026-09-20;2026-09-23;2026;ba-jobsuche;;
